foodid,Time,Date,DateFormat,DateTime,Month,Day,Count,Year,WeekDay,Season,Building Number,lat,lon,Room Number,Email Subject
107,6:50:19 PM,10/22/16,10/22/16,10/22/16 6:50 PM,Oct,22,1,2016,Sat,Autumn,4,42.35916667,71.09111111,131b,Small amount of dinner food outside 4-131b
108,1:50:43 PM,10/22/17,10/22/17,10/22/17 1:50 PM,Oct,22,1,2017,Sun,Autumn,66,42.36083333,71.08888889,1,otto’s pizza in 66
109,1:31:29 PM,10/23/16,10/23/16,10/23/16 1:31 PM,Oct,23,1,2016,Sun,Autumn,36,42.36138889,71.09138889,1,"Lobby 36-1 fruit, cheese, sandwiches, muffins eom(1)"
110,1:31:29 PM,10/23/16,10/23/16,10/23/16 1:31 PM,Oct,23,1,2016,Sun,Autumn,36,42.36138889,71.09138889,1,"Lobby 36-1 fruit, cheese, sandwiches, muffins eom"
111,3:13:01 PM,10/23/16,10/23/16,10/23/16 3:13 PM,Oct,23,1,2016,Sun,Autumn,W20,42.35888889,71.09472222,4,yellow rice W20-4 lobby
112,5:03:24 PM,10/23/17,10/23/17,10/23/17 5:03 PM,Oct,23,1,2017,Mon,Autumn,w20,42.35888889,71.09472222,1,2 VEGGIE TASTY BURGERS
113,4:55:50 PM,10/24/17,10/24/17,10/24/17 4:55 PM,Oct,24,1,2017,Tue,Autumn,9,42.35972222,71.09333333,451,Veggie platter
114,7:09:51 PM,10/24/17,10/24/17,10/24/17 7:09 PM,Oct,24,1,2017,Tue,Autumn,5,42.35861111,71.09277778,134,5-134
115,7:28:33 PM,10/24/17,10/24/17,10/24/17 7:28 PM,Oct,24,1,2017,Tue,Autumn,9,42.35972222,71.09333333,555,9-555
116,9:07:36 PM,10/24/17,10/24/17,10/24/17 9:07 PM,Oct,24,1,2017,Tue,Autumn,2,42.35861111,71.09,136,Pizza + sandwiches 2-136 EOM
117,12:56:28 PM,10/25/16,10/25/16,10/25/16 12:56 PM,Oct,25,1,2016,Tue,Autumn,34,42.36111111,71.09166667,401,in Grier Kitchen 34-401
118,1:29:13 PM,10/25/16,10/25/16,10/25/16 1:29 PM,Oct,25,1,2016,Tue,Autumn,e23,42.36083333,71.08638889,0,Mexican food
119,6:52:44 PM,10/25/16,10/25/16,10/25/16 6:52 PM,Oct,25,1,2016,Tue,Autumn,36,42.36138889,71.09138889,5,Pizza 36-5 elevator lobby(1)
