"shapeid","x","y"
"1","72.84357884362196","19.19767002322033"
"1","72.84253922803116","19.19934985314112"
"1","72.84059481449513","19.20017298700829"
"1","72.83863921275899","19.20055280829748"
"1","72.83571001323578","19.20080025277469"
"1","72.83356825124831","19.19920375640412"
"1","72.83191577569168","19.19910364419627"
"1","72.83193002720368","19.19801606427267"
"1","72.83076770560406","19.19610882605963"
"1","72.82935221191562","19.1973409662929"
"1","72.82929026130446","19.19883084903121"
"1","72.82886152357527","19.19918835353047"
"1","72.8279552981972","19.20038622401179"
"1","72.82777301072085","19.20135094898706"
"1","72.822599305104","19.20459307282528"
"1","72.81467331384613","19.20429729316828"
"1","72.81091767955711","19.20610564845692"
"1","72.81089315227409","19.20795853469653"
"1","72.80927555478758","19.20842263884669"
"1","72.80871314615514","19.209261928979"
"1","72.80886032756754","19.21095572016744"
"1","72.80795763265289","19.21187150933007"
"1","72.80668293784164","19.21205768435065"
"1","72.8034449609158","19.21318719188559"
"1","72.8034750521235","19.21411413814129"
"1","72.81251076838721","19.21468246005063"
"1","72.82134539677712","19.21555170733748"
"1","72.83595940668485","19.21521564213933"
"1","72.83810860546684","19.21485904005707"
"1","72.84175188016297","19.21299209502748"
"1","72.84511212417397","19.21226768839108"
"1","72.84779400515431","19.21217188763364"
"1","72.85139080315643","19.21386937025993"
"1","72.85420838204824","19.21364774087321"
"1","72.85649650862045","19.21291056012979"
"1","72.86386393022619","19.21325127526583"
"1","72.86893839992098","19.21471099682444"
"1","72.87832929470042","19.21405603116964"
"1","72.88231225001431","19.21703070614913"
"1","72.88675601654066","19.21542673929788"
"1","72.88721176144364","19.2112301000087"
"1","72.89031195309558","19.20986519129923"
"1","72.8913743167004","19.21064140400484"
"1","72.8921800226123","19.21052334474524"
"1","72.89233188704551","19.20912445554854"
"1","72.89408864432878","19.20799867922817"
"1","72.89569030759536","19.20852640350478"
"1","72.89570974761205","19.20699865698154"
"1","72.9001644524687","19.20450313691182"
"1","72.9012817569478","19.20095066117521"
"1","72.90273569605586","19.20115180117812"
"2","72.90273569605586","19.20115180117812"
"2","72.9012817569478","19.20095066117521"
"2","72.9001644524687","19.20450313691182"
"2","72.89570974761205","19.20699865698154"
"2","72.89569030759536","19.20852640350478"
"2","72.89408864432878","19.20799867922817"
"2","72.89233188704551","19.20912445554854"
"2","72.8921800226123","19.21052334474524"
"2","72.8913743167004","19.21064140400484"
"2","72.89031195309558","19.20986519129923"
"2","72.88721176144364","19.2112301000087"
"2","72.88675601654066","19.21542673929788"
"2","72.88231225001431","19.21703070614913"
"2","72.87832929470042","19.21405603116964"
"2","72.86893839992098","19.21471099682444"
"2","72.86386393022619","19.21325127526583"
