k_id,ward,latitude,longitude,paper (kg per week),plastic (kg per week),workers in shop
48,HW,19.0586657,72.8341224,,,1
49,HW,19.0712950,72.8371920,,,2
50,HW,19.0714133,72.8368526,,,1
51,HW,19.0654335,72.8326147,,,1
52,HW,19.0751654,72.8359742,700,14,1
53,HW,19.0831050,72.8407810,,,1
54,HW,19.0863369,72.8409734,,,1
55,HW,19.0793321,72.8292464,,,1
56,HW,19.0738038,72.8262723,,,1
57,HW,19.0611853,72.8246486,700,105,1
58,HW,19.0656873,72.8317699,,,1
59,HW,19.0791228,72.8403768,,,3
60,HW,19.0793800,72.8403760,,,2
61,HW,19.0853430,72.8346760,,,2
62,HW,19.0876780,72.8382770,,,1
63,HW,19.0791783,72.8381045,,,1
64,HW,19.0707905,72.8283718,,,2
65,HW,19.0737536,72.8300204,,,1
66,HW,19.0566512,72.8241775,,,1
67,N,19.0793362,72.9035085,,,1
68,N,19.0871520,72.9113379,,15,1
69,N,19.0758710,72.8981207,60,20,1
70,N,19.0771670,72.8991339,100,3,1
71,N,19.0770358,72.9034693,700,5,1
72,N,19.0733237,72.9088743,1400,350,2
73,N,19.0803324,72.9048114,1050,210,1
74,N,19.0825095,72.9089766,2000,35,1
75,N,19.0836781,72.9092364,70,70,1
76,N,19.0846803,72.9096401,70,30,1
77,N,19.0844452,72.9109182,,,2
78,N,19.0854220,72.9115228,,,2
79,N,19.0905926,72.9105249,,,2
80,N,19.0953991,72.9102437,,,1
81,N,19.0970182,72.9100739,,,1
82,N,19.0984778,72.9097232,,,1
83,N,19.1085173,72.9152563,,,1
84,N,19.1127000,72.9161200,,,1
85,N,19.0754283,72.9153112,,,1
86,N,19.0823308,72.9093377,350,35,2
87,N,19.0782517,72.9099729,,,2
88,N,19.0782392,72.9115071,,,1
89,N,19.0813429,72.9121517,50,30,1
90,N,19.0823717,72.9139882,105,50,1
91,N,19.0830266,72.9132446,100,70,1
92,N,19.0837499,72.9146928,,,2
93,N,19.0867752,72.9130652,,49,2
94,N,19.0942610,72.9119020,,,1
95,N,19.0942320,72.9117840,,,1
96,N,19.0947871,72.9119649,,,1
97,N,19.0760621,72.9160378,100,400,1
98,N,19.0881315,72.9100795,,,1
99,N,19.0905735,72.9101078,,,1
100,N,19.0885233,72.9064778,,,1
101,N,19.0894070,72.9051092,,,2
102,N,19.0898990,72.9046971,,,3
103,N,19.0901262,72.9045318,,,1
104,N,19.1001680,72.9139923,,,2
105,N,19.1041786,72.9115009,,,1
106,N,19.0930483,72.8997906,,,1
107,N,19.0935009,72.9037673,,,1
108,N,19.0911872,72.9077409,,,2
109,N,19.0922674,72.9080254,,,2
110,N,19.1133573,72.9161599,,,2
111,N,19.0993387,72.9094648,,,1
112,N,19.0905100,72.9026081,,,1
113,RN,19.2400044,72.8461515,,,2
114,RN,19.2565367,72.8520839,,,1
115,RN,19.2546154,72.8527115,,,1
116,RN,19.2567080,72.8518170,,300,3
117,RN,19.2520653,72.8734857,,,1
118,RN,19.2414350,72.8679290,,,2
119,RN,19.2403931,72.8695265,,,3
120,RN,19.2452870,72.8467970,,,1
121,RN,19.2434532,72.8671246,,,2
122,RN,19.2564614,72.8741516,,,1
123,RN,19.2434464,72.8661088,,,2
124,RN,19.2420000,72.8650828,,,2
125,RN,19.2436767,72.8653836,,,1
126,RN,19.2450160,72.8711155,,,1
127,RN,19.2469266,72.8721757,,,1
128,RN,19.2546080,72.8538960,,,2
129,RN,19.2366011,72.8684958,,,1
130,RN,19.2369035,72.8670701,,,1
131,RN,19.2448400,72.8689513,,,1
132,RN,19.2449321,72.8701691,,,1
133,RN,19.2446496,72.8727450,,,1
134,RN,19.2450370,72.8709960,,,1
135,RN,19.2563267,72.8744166,,,1
136,RN,19.2560380,72.8721290,,,1
137,RN,19.2487163,72.8615752,,,1
138,RN,19.2486295,72.8610348,,,1
139,RN,19.2486536,72.8611977,,,2
140,RN,19.2540115,72.8623038,,,1
141,RN,19.2589523,72.8598103,,,1
142,RN,19.2509790,72.8509810,,,2
143,RN,19.2504898,72.8535702,,,1
144,RN,19.2447680,72.8574030,,,1
145,RN,19.2567900,72.8511617,,,1
146,RN,19.2566617,72.8520127,,,4
147,RN,19.2532770,72.8501330,,,2
148,RN,19.2538510,72.8496710,,,2
149,RN,19.2468770,72.8544720,,,1
150,RN,19.2490575,72.8500030,,,3
151,RN,19.2487110,72.8500390,,,1
152,RN,19.2523374,72.8461507,,,1
153,RN,19.2470503,72.8485819,,,3
154,RN,19.2453370,72.8470620,,,1
155,RN,19.2410300,72.8462810,,,1
156,RN,19.2387867,72.8480800,,,1
157,RN,19.2525371,72.8632238,,,1
158,RN,19.2593267,72.8607830,,,1
159,RN,19.2568688,72.8672426,,,1
160,RN,19.2483209,72.8729089,,,1
161,RN,19.2544277,72.8515515,,,3
162,RN,19.2448790,72.8704332,,,4
